Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Arizona

,,National or state crime,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1986,   3317000,      21835,         307,       1425,,       5614,      14489,     221015,      63278,     143845,      13892,         658.3,           9.3,          43.0,,         169.2,         436.8,       6663.1,       1907.7,       4336.6,         418.8 
1987,   3386000,      20742,         253,       1396,,       4687,      14406,     222663,      55059,     153296,      14308,         612.6,           7.5,          41.2,,         138.4,         425.5,       6576.0,       1626.1,       4527.3,         422.6 
1988,   3466000,      21147,         294,       1345,,       4750,      14758,     237808,      54773,     167121,      15914,         610.1,           8.5,          38.8,,         137.0,         425.8,       6861.2,       1580.3,       4821.7,         459.1 
1989,   3556000,      21320,         237,       1286,,       4944,      14853,     265284,      59284,     181574,      24426,         599.6,           6.7,          36.2,,         139.0,         417.7,       7460.2,       1667.2,       5106.1,         686.9 
1990,   3665228,      23911,         284,       1500,,       5897,      16230,     265229,      61206,     172375,      31648,         652.4,           7.7,          40.9,,         160.9,         442.8,       7236.4,       1669.9,       4703.0,         863.5 
1991,   3750000,      25152,         291,       1590,,       6215,      17056,     252559,      60281,     159987,      32291,         670.7,           7.8,          42.4,,         165.7,         454.8,       6734.9,       1607.5,       4266.3,         861.1 
1992,   3832000,      25706,         312,       1647,,       5867,      17880,     243629,      54095,     158053,      31481,         670.8,           8.1,          43.0,,         153.1,         466.6,       6357.8,       1411.7,       4124.6,         821.5 
1993,   3936000,      28142,         339,       1488,,       6412,      19903,     264371,      57684,     172689,      33998,         715.0,           8.6,          37.8,,         162.9,         505.7,       6716.7,       1465.5,       4387.4,         863.8 
1994,   4075000,      28653,         426,       1465,,       6601,      20161,     294273,      60157,     190649,      43467,         703.1,          10.5,          36.0,,         162.0,         494.7,       7221.4,       1476.2,       4678.5,       1066.7 
1995,   4218000,      30095,         439,       1418,,       7329,      20909,     316355,      59762,     207763,      48830,         713.5,          10.4,          33.6,,         173.8,         495.7,       7500.1,       1416.8,       4925.6,       1157.7 
1996,   4428000,      27963,         377,       1381,,       7429,      18776,     284964,      55630,     188300,      41034,         631.5,           8.5,          31.2,,         167.8,         424.0,       6435.5,       1256.3,       4252.5,         926.7 
1997,   4555000,      28411,         375,       1492,,       7547,      18997,     299323,      60077,     195045,      44201,         623.7,           8.2,          32.8,,         165.7,         417.1,       6571.3,       1318.9,       4282.0,         970.4 
1998,   4669000,      26984,         376,       1451,,       7715,      17442,     280001,      56473,     183137,      40391,         577.9,           8.1,          31.1,,         165.2,         373.6,       5997.0,       1209.5,       3922.4,         865.1 
1999,   4778332,      26334,         384,       1383,,       7288,      17279,     255401,      49423,     167731,      38247,         551.1,           8.0,          28.9,,         152.5,         361.6,       5345.0,       1034.3,       3510.2,         800.4 
2000,   5130632,      27281,         359,       1577,,       7504,      17841,     271811,      51902,     176705,      43204,         531.7,           7.0,          30.7,,         146.3,         347.7,       5297.8,       1011.6,       3444.1,         842.1 
2001,   5306966,      28675,         400,       1518,,       8868,      17889,     293874,      54821,     186850,      52203,         540.3,           7.5,          28.6,,         167.1,         337.1,       5537.5,       1033.0,       3520.8,         983.7 
2002,   5441125,      30171,         387,       1608,,       8000,      20176,     318296,      59087,     201541,      57668,         554.5,           7.1,          29.6,,         147.0,         370.8,       5849.8,       1085.9,       3704.0,       1059.9 
2003,   5579222,      28638,         441,       1856,,       7619,      18722,     314335,      58613,     198725,      56997,         513.3,           7.9,          33.3,,         136.6,         335.6,       5634.0,       1050.6,       3561.9,       1021.6 
2004,   5739879,      28952,         414,       1896,,       7721,      18921,     291203,      56885,     179012,      55306,         504.4,           7.2,          33.0,,         134.5,         329.6,       5073.3,         991.0,       3118.7,         963.5 
2005,   5953007,      30478,         445,       2006,,       8579,      19448,     287345,      56328,     176112,      54905,         512.0,           7.5,          33.7,,         144.1,         326.7,       4827.0,         946.2,       2958.0,         922.0 
2006,   6166318,      33456,         533,       2449,,       9491,      20983,     294389,      59418,     178321,      56650,         542.6,           8.6,          39.7,,         153.9,         340.3,       4774.1,         963.6,       2891.9,         918.7 
2007,   6338755,      32835,         548,       2353,,       9764,      20170,     287308,      59988,     177076,      50244,         518.0,           8.6,          37.1,,         154.0,         318.2,       4532.6,         946.4,       2793.5,         792.6 
2008,   6500180,      31567,         462,       2200,,       9809,      19096,     266653,      58606,     169460,      38587,         485.6,           7.1,          33.8,,         150.9,         293.8,       4102.2,         901.6,       2607.0,         593.6 
2009,   6595778,      28128,         380,       2279,,       8199,      17270,     236721,      54308,     155976,      26437,         426.5,           5.8,          34.6,,         124.3,         261.8,       3589.0,         823.4,       2364.8,         400.8 
2010,   6413158,      26528,         408,       2191,,       6953,      16976,     226802,      50932,     154137,      21733,         413.6,           6.4,          34.2,,         108.4,         264.7,       3536.5,         794.2,       2403.4,         338.9 
2011,   6467315,      26789,         397,       2499,,       7145,      16748,     229896,      54695,     155400,      19801,         414.2,           6.1,          38.6,,         110.5,         259.0,       3554.7,         845.7,       2402.9,         306.2 
2012,   6551149,      28077,         358,       2282,,       7383,      18054,     231701,      52911,     159808,      18982,         428.6,           5.5,          34.8,,         112.7,         275.6,       3536.8,         807.7,       2439.4,         289.8 
2013,   6634997,      27576,         355,       2344,       3174,       6656,      17391,     223294,      48292,     158036,      16966,         415.6,           5.4,          35.3,          47.8,         100.3,         262.1,       3365.4,         727.8,       2381.9,         255.7 
2014,   6731484,      26916,         319,       2464,       3378,       6249,      16970,     215240,      43562,     154091,      17587,         399.9,           4.7,          36.6,          50.2,          92.8,         252.1,       3197.5,         647.1,       2289.1,         261.3 

Estimated crime in California

,,National or state crime,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1960,  15717204,      37558,         616,       2859,,      15287,      18796,     508511,     143102,     311956,      53453,         239.0,           3.9,          18.2,,          97.3,         119.6,       3235.4,         910.5,       1984.8,         340.1 
1961,  16397000,      38154,         605,       3033,,      14832,      19684,     521008,     146615,     319834,      54559,         232.7,           3.7,          18.5,,          90.5,         120.0,       3177.5,         894.2,       1950.6,         332.7 
1962,  16970000,      39846,         657,       2946,,      15598,      20645,     564451,     158523,     348373,      57555,         234.8,           3.9,          17.4,,          91.9,         121.7,       3326.2,         934.1,       2052.9,         339.2 
1963,  17590000,      42419,         673,       3080,,      16458,      22208,     623709,     175703,     384289,      63717,         241.2,           3.8,          17.5,,          93.6,         126.3,       3545.8,         998.9,       2184.7,         362.2 
1964,  18084000,      48026,         740,       3621,,      18667,      24998,     700630,     196883,     427960,      75787,         265.6,           4.1,          20.0,,         103.2,         138.2,       3874.3,       1088.7,       2366.5,         419.1 
1965,  18602000,      52490,         880,       3948,,      21081,      26581,     750997,     225007,     444217,      81773,         282.2,           4.7,          21.2,,         113.3,         142.9,       4037.2,       1209.6,       2388.0,         439.6 
1966,  18918000,      57718,         868,       4432,,      22317,      30101,     802944,     241666,     474122,      87156,         305.1,           4.6,          23.4,,         118.0,         159.1,       4244.3,       1277.4,       2506.2,         460.7 
1967,  19153000,      67446,       1039,       4792,,      28539,      33076,     900757,     276958,     526477,      97322,         352.1,           5.4,          25.0,,         149.0,         172.7,       4703.0,       1446.0,       2748.8,         508.1 
1968,  19221000,      81293,       1150,       5744,,      36991,      37408,   1018363,     316081,     582838,     119444,         422.9,           6.0,          29.9,,         192.5,         194.6,       5298.2,       1644.5,       3032.3,         621.4 
1969,  19443000,      89878,       1386,       7053,,      39240,      42199,   1096083,     325891,     638249,     131943,         462.3,           7.1,          36.3,,         201.8,         217.0,       5637.4,       1676.1,       3282.7,         678.6 
1970,  19953134,      94741,       1376,       7005,,      41277,      45083,   1170113,     349788,     682811,     137514,         474.8,           6.9,          35.1,,         206.9,         225.9,       5864.3,       1753.0,       3422.1,         689.2 
1971,  20223000,     104872,       1642,       7300,,      47626,      48304,   1248069,     392277,     711417,     144375,         518.6,           8.1,          36.1,,         235.5,         238.9,       6171.5,       1939.8,       3517.9,         713.9 
1972,  20468000,     110667,       1791,       8127,,      48829,      51920,   1201968,     398960,     663568,     139440,         540.7,           8.8,          39.7,,         238.6,         253.7,       5872.4,       1949.2,       3242.0,         681.3 
1973,  20601000,     116563,       1862,       8357,,      49531,      56813,   1182309,     407824,     643488,     130997,         565.8,           9.0,          40.6,,         240.4,         275.8,       5739.1,       1979.6,       3123.6,         635.9 
1974,  20907000,     127658,       1985,       8494,,      52822,      64357,   1303810,     433194,     737067,     133549,         610.6,           9.5,          40.6,,         252.7,         307.8,       6236.2,       2072.0,       3525.5,         638.8 
1975,  21185000,     138842,       2209,       8807,,      59827,      67999,   1387451,     469726,     784639,     133086,         655.4,          10.4,          41.6,,         282.4,         321.0,       6549.2,       2217.3,       3703.7,         628.2 
1976,  21520000,     144041,       2220,       9614,,      59318,      72889,   1412716,     467980,     806086,     138650,         669.3,          10.3,          44.7,,         275.6,         338.7,       6564.7,       2174.6,       3745.8,         644.3 
