observation_date,AZSTHPI_20181127,CASTHPI_20181127,COSTHPI_20181127,DCSTHPI_20181127,FLSTHPI_20181127,GASTHPI_20181127,ILSTHPI_20181127,MASTHPI_20181127,MISTHPI_20181127,MNSTHPI_20181127,NCSTHPI_20181127,NVSTHPI_20181127,NYSTHPI_20181127,OHSTHPI_20181127,ORSTHPI_20181127,TXSTHPI_20181127,WASTHPI_20181127
2015-04-01,318.93,519.73,421.96,725.42,346.49,296.09,316.29,666.22,275.19,333.63,319.16,272.98,590.02,250.40,429.26,266.72,457.65
2015-07-01,326.49,534.12,438.26,745.78,354.98,300.55,318.15,678.70,280.50,339.19,322.56,281.69,595.91,253.22,443.62,272.51,470.93
2015-10-01,331.29,541.63,444.73,762.46,362.27,303.15,319.72,683.58,282.14,340.55,325.79,288.48,597.67,254.11,451.35,275.38,479.83
2016-01-01,334.50,548.45,453.04,770.62,369.73,306.06,321.05,690.57,284.48,342.07,329.98,291.18,601.12,255.53,461.44,279.41,488.87
2016-04-01,342.14,558.14,469.24,788.62,379.28,315.01,325.67,700.62,290.47,350.69,335.26,298.99,611.36,260.10,478.09,286.97,506.49
2016-07-01,347.57,569.41,481.55,789.93,389.66,320.81,329.81,712.08,296.44,355.96,342.40,308.42,620.41,265.64,492.78,293.17,522.38
2016-10-01,353.45,578.06,489.46,806.86,396.72,323.31,331.74,719.99,298.98,358.40,343.88,311.26,626.89,265.25,501.34,296.64,530.19
2017-01-01,360.45,589.36,499.55,817.87,405.55,325.83,332.22,726.57,304.09,362.37,346.54,317.87,629.64,266.50,508.74,300.77,541.93
2017-04-01,371.25,603.02,518.83,836.22,416.55,337.38,337.16,747.98,312.90,375.49,358.68,328.45,640.55,275.84,526.70,311.31,564.29
2017-07-01,380.17,614.81,526.88,852.96,424.28,342.66,341.58,760.20,319.85,380.78,363.11,339.41,654.00,280.15,537.71,316.86,582.82
2017-10-01,384.55,625.90,535.21,862.42,433.67,346.77,342.97,765.70,321.67,382.07,365.45,349.08,661.30,280.86,540.31,320.25,592.47
2018-01-01,393.96,638.86,550.64,878.24,442.30,355.20,345.73,776.63,325.35,387.33,371.33,360.83,669.26,283.84,549.03,324.94,607.08
2018-04-01,404.86,656.50,569.04,897.67,454.57,365.72,350.41,793.79,336.22,399.89,384.00,377.15,680.94,291.69,567.86,333.61,635.05
2018-07-01,413.76,667.38,578.51,911.63,463.19,373.03,351.92,809.05,343.55,406.57,390.05,390.36,693.10,297.86,576.07,338.29,640.53
