observation_date,AZSTHPI_20181127,CASTHPI_20181127,COSTHPI_20181127,DCSTHPI_20181127,FLSTHPI_20181127,GASTHPI_20181127,ILSTHPI_20181127,MASTHPI_20181127,MISTHPI_20181127,MNSTHPI_20181127,NCSTHPI_20181127,NVSTHPI_20181127,NYSTHPI_20181127,OHSTHPI_20181127,ORSTHPI_20181127,TXSTHPI_20181127,WASTHPI_20181127
1985-01-01,125.19,124.71,127.05,107.48,128.49,131.61,113.59,191.22,99.73,117.04,127.66,117.27,176.23,108.01,97.87,127.89,110.84
1985-04-01,125.43,126.54,126.36,110.85,129.01,129.18,114.98,205.66,100.79,118.33,130.11,117.43,184.53,109.21,97.77,128.89,111.14
1985-07-01,127.51,129.37,127.28,111.82,128.86,135.07,116.30,218.77,102.69,115.89,132.98,118.49,191.50,110.51,96.99,128.96,111.83
1985-10-01,128.78,130.77,124.83,114.02,130.64,137.77,118.25,233.15,103.82,119.95,134.76,118.36,198.95,111.37,97.14,127.88,112.27
1986-01-01,131.40,132.44,129.35,114.27,132.02,140.04,119.97,242.55,105.41,121.31,135.93,120.94,207.09,112.86,97.92,130.60,113.76
1986-04-01,135.35,135.00,130.19,119.54,135.44,141.85,122.66,254.61,108.80,120.70,138.52,123.86,217.16,114.38,98.66,132.76,114.34
1986-07-01,135.39,137.93,129.26,122.98,136.29,143.62,125.41,267.06,112.07,124.13,140.97,123.94,227.06,116.22,99.48,130.04,114.90
1986-10-01,133.56,141.27,128.68,127.69,136.43,146.00,128.33,279.80,114.54,124.01,142.80,123.75,237.20,117.75,97.80,127.63,116.06
1987-01-01,137.76,144.92,130.39,132.60,137.23,148.36,130.79,289.28,117.50,126.72,145.48,126.30,246.55,119.96,99.95,127.98,117.22
1987-04-01,136.64,148.44,128.86,135.52,139.22,150.10,135.49,296.42,121.43,128.92,147.03,125.58,255.17,122.40,100.26,124.22,118.10
1987-07-01,135.94,153.13,126.02,139.96,139.40,151.74,138.58,305.53,124.07,130.05,149.40,124.75,267.00,124.86,99.43,119.28,118.87
1987-10-01,133.35,157.47,124.91,145.52,140.36,152.43,140.56,307.86,126.10,129.15,150.42,124.19,270.82,126.07,98.75,115.65,119.60
1988-01-01,134.77,163.23,125.80,154.01,141.84,154.47,143.49,311.09,127.92,131.62,151.48,125.23,277.33,128.21,100.76,115.67,121.88
1988-04-01,136.17,169.99,125.59,161.42,144.74,156.49,148.04,316.57,131.17,133.42,153.98,126.45,280.66,130.94,101.42,117.53,123.72
1988-07-01,133.99,178.09,124.46,164.90,145.94,156.81,151.44,315.41,133.31,133.27,155.37,128.26,282.63,132.09,105.03,114.78,126.26
1988-10-01,134.50,187.91,123.73,169.88,147.08,156.59,152.83,317.64,134.48,134.06,156.15,129.41,283.49,133.34,105.60,113.78,127.71
1989-01-01,132.99,196.65,124.01,179.90,148.22,157.70,155.68,314.95,136.50,134.52,156.65,130.06,283.29,134.91,107.88,114.01,132.19
1989-04-01,132.74,206.37,124.91,180.81,149.29,158.30,158.74,312.87,139.37,136.43,157.47,132.06,282.80,136.31,110.51,114.95,137.83
1989-07-01,134.79,218.25,127.46,182.85,151.71,160.22,162.32,317.60,142.64,138.33,160.21,135.40,285.69,139.19,113.79,117.24,144.41
1989-10-01,133.84,225.16,126.99,186.62,152.90,161.42,164.30,318.34,143.24,139.09,160.59,137.23,286.52,140.18,116.61,116.86,152.97
1990-01-01,133.66,227.87,127.34,192.58,153.56,160.91,166.06,314.14,145.38,139.23,160.99,139.96,286.51,141.73,120.82,116.48,164.11
1990-04-01,132.91,228.63,128.27,191.68,153.06,159.49,167.91,305.25,147.66,139.20,161.42,141.87,283.16,143.03,126.94,117.41,173.26
1990-07-01,133.90,230.54,129.25,186.85,153.88,160.55,169.88,299.95,148.59,139.94,162.91,145.67,281.63,145.05,131.56,118.05,176.00
1990-10-01,132.70,229.00,129.68,188.14,153.31,159.44,170.39,292.94,148.99,139.89,162.81,147.30,278.54,145.36,133.94,117.17,177.53
1991-01-01,134.84,228.78,131.17,189.87,155.09,161.05,172.43,289.91,150.71,141.89,163.79,150.47,278.20,147.00,136.37,118.59,181.57
1991-04-01,135.95,227.34,132.78,191.60,155.64,161.67,174.23,286.89,152.77,143.02,165.03,151.63,280.02,149.05,139.41,119.90,183.33
1991-07-01,135.29,227.35,133.88,189.59,155.35,161.17,175.46,283.58,153.96,143.38,165.31,152.35,279.20,150.06,141.82,119.87,184.03
1991-10-01,139.21,229.03,136.12,192.82,158.01,162.95,177.88,286.31,155.85,145.90,167.70,155.62,281.35,152.28,144.90,121.31,187.87
1992-01-01,140.04,227.80,138.16,195.82,159.97,163.96,179.08,285.39,157.13,146.60,168.80,157.01,286.59,153.98,147.85,123.32,188.77
1992-04-01,139.72,225.44,141.24,195.84,158.54,164.23,180.64,281.94,158.15,147.42,169.16,156.42,282.74,154.99,149.75,122.80,190.46
1992-07-01,140.57,225.00,144.25,195.51,161.21,167.57,182.35,283.52,159.33,149.18,171.19,159.37,285.83,157.13,153.41,124.90,193.14
1992-10-01,141.33,222.90,147.01,194.01,161.32,167.85,184.01,284.15,160.55,150.13,171.90,160.27,287.84,158.67,156.28,125.51,195.12
1993-01-01,141.45,219.39,149.71,192.99,161.48,168.23,185.14,282.24,161.18,151.42,172.33,160.11,282.63,159.41,158.49,125.87,195.95
